"name","color"
"urgent","#ff0000"
"bugfix","#ff4500"
"feature","#32cd32"
"study","#8a2be2"
"discussion","#1e90ff"
"critical","#dc143c"
"enhancement","#daa520"
"research","#483d8b"
"design","#6495ed"
"documentation","#20b2aa"
"optimization","#deb887"
"review","#4682b4"
"testing","#008080"
"maintenance","#9acd32"
"planning","#00ced1"
"brainstorming","#afeeee"
"meeting","#00bfff"
"refactoring","#6b8e23"
"deployment","#3cb371"
"analysis","#b0c4de"
"collaboration","#7b68ee"
"cleanup","#708090"
"deadline","#db7093"
"feedback","#d2691e"
"troubleshooting","#ff69b4"
"implementation","#bc8f8f"
"integration","#ffa07a"
"experiment","#dda0dd"
"learning","#800080"
"priority","#ff6347"
"support","#f08080"
"client","#ffd700"
"backend","#8fbc8f"
"frontend","#f4a460"
"security","#ffdead"
"performance","#cd853f"
"monitoring","#4682b4"
"email","#00ffff"
"social","#87cefa"
"marketing","#ba55d3"
"sales","#ff69b4"
"finance","#f0e68c"
"legal","#eee8aa"
"hr","#dda0dd"
"administration","#98fb98"
"training","#afeeee"
"workshop","#ff7f50"
"offsite","#ffdab9"
"presentation","#b0e0e6"
"conference","#ffb6c1"
